Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,Constituency,State,District,Year,House,Comment
Anand Ramnath Arleka,IND,0,10th Pass,58,843025,1336346,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Bishnu Pada Ray,BJP,0,Graduate,73,27439170,302788,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
D Ayyappa,CPI(M),0,Post Graduate,60,13287710,2649000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Dr Arun Kumar Mallik,BSP,0,Post Graduate,64,111872135,0,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
K J B Selvaraj,AIADMK,0,Graduate,50,32860000,307000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
K Venkat Ram Babu,IND,0,10th Pass,50,399000,0,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Kuldeep Rai Sharma,INC,0,Graduate Professional,56,152041369,164057549,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Manoj Paul,Andaman Nicobar Democratic Congress,15,Graduate Professional,35,2433734,1000000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Rinku Mala Mondal,IND,0,Others,36,265362,220000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Salamat Mondal,SUCI(C),0,Literate,48,17962500,4500000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Usha Kuma,IND,0,12th Pass,39,600000,0,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
V.K. Abdul Aziz,IND,2,8th Pass,42,8267000,187000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Bandey Mil,Arunachal Democratic Party,1,12th Pass,43,34740988,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Bosiram Siram,INC,0,Graduate,57,174489335,1211053,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Omak Nitik,IND,0,Graduate,30,1036674,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Sotai K,IND,0,8th Pass,54,12463388,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Tamat Gamoh,IND,0,Graduate,55,8680850,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Tapir Gao,BJP,0,Post Graduate,59,150537706,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Bimpak Siga,IND,0,Graduate,41,34400000,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Kiren Rijiju,BJP,0,Graduate Professional,53,49403234,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Leki Norbu,IND,0,Illiterate,38,6369176,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Nabam Tuk,INC,1,Graduate,56,621025404,41620010,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Ruhi Tagung,IND,0,10th Pass,53,91187000,9733555,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Tania Ju,IND,0,10th Pass,36,5230000,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Techi Rana,IND,0,Post Graduate,28,746620,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Toko Sheetal,Gana Suraksha Party,0,12th Pass,43,12602960,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Abdul Hamed,Rashtriya Ulama Council,0,12th Pass,28,25800000,445000,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Abul Kasem,Republican Party of India (Athawale),0,Graduate Professional,72,23560873,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Aroon Barooa,Bharatheeya Jawan Kisan Party,0,Post Graduate,67,6110000,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Biren Basak,Bharatiya Gana Parishad,0,12th Pass,50,6862500,2187142,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Daniel Mard,IND,0,Post Graduate,37,142553,100123,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Dilip Saikia,BJP,0,Graduate,50,26442931,3730107,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Durgadas Boro,Bodoland Peoples Front,0,Graduate,65,32053278,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Jitendra Chaliha,SUCI(C),0,12th Pass,54,75191,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Lalit Pegu,Voters Party International,0,Graduate,42,4602000,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Madhab Rajbangsh,INC,0,Graduate Professional,67,13155192,1259457,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Swarna Dev,Gana Suraksha Party,1,Graduate,48,21653311,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Lurinjyoti Gogo,Assam Jatiya Parishad,0,Post Graduate,45,3431472,0,No,DIBRUGARH,ASSAM,,2024,Lok Sabha,No Comment
Manoj Dhanowa,AAP,0,Graduate Professional,47,93230440,990197,No,DIBRUGARH,ASSAM,,2024,Lok Sabha,No Comment
Sarbananda Sonowal,BJP,0,Graduate Professional,62,47585258,2578370,No,DIBRUGARH,ASSAM,,2024,Lok Sabha,No Comment
Amarsing Tisso,BJP,0,10th Pass,56,227863561,54075091,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
J. I. Katha,IND,2,Post Graduate,73,30295873,0,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
John Barnard Sangma,Gana Suraksha Party,0,Post Graduate,75,35184386,745089,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
Jotson Bey,Autonomous State Demand Committee,0,12th Pass,62,4657171,0,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
Joy Ram Engleng,INC,0,10th Pass,64,7603228,6900000,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
Arun Chandra Handiqu,Ekam Sanatan Bharat Dal,0,10th Pass,62,1470000,350000,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Gaurav Gogo,INC,1,Post Graduate,41,49061120,0,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Raj Kumar Duwara,IND,0,10th Pass,58,1100000,0,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Topon Kumar Gogo,BJP,0,Post Graduate,55,32298139,284651,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Abdul Basit Tapada,IND,0,12th Pass,53,1335000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Goffar Talukda,IND,0,12th Pass,43,770600,1100000,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Hameed,IND,0,12th Pass,59,4432000,25000,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Kalam Mazumd,IND,3,8th Pass,39,6047515,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdus Subhan Tapada,IND,0,12th Pass,41,580733,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Alim Uddin Mazumd,IND,0,12th Pass,55,2873000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Binay Krishna Roy,IND,0,Graduate Professional,61,8402223,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Debashish Ghosh,Bangali Nabanirman Sena,0,12th Pass,36,390000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Debojyoti Nath,IND,0,12th Pass,51,471862,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Dilip Kuma,IND,0,Graduate,52,7550122,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Gopal Chandra Paul,IND,0,12th Pass,64,2071699,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Hafiz Rashid Ahmed Choudhury,INC,0,Post Graduate,71,47988891,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Jibesh Deb,IND,0,Graduate,56,491046,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Kripanath Mallah,BJP,0,Graduate,50,18862404,6314782,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Md. Nazrul Islam Laska,IND,0,Post Graduate,66,1118000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Muzakkir Hasan Laska,IND,1,Graduate,33,20000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Prajjwal Sudip Deb,SUCI(C),0,Graduate Professional,51,1334382,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Rashid Ahmed Choudhury,IND,0,8th Pass,36,1227000,53650,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Rokibul Hussain Choudhury,IND,0,12th Pass,37,290000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Rosid Ahmed Laska,IND,0,8th Pass,57,464799,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Safikur Rahman Haza,IND,0,8th Pass,51,352000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Sahabul Islam Choudhury,All India United Democratic Front,2,Post Graduate,55,830391832,252016452,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Sahel Ahmed,IND,0,12th Pass,29,215000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Hoqu,IND,0,12th Pass,55,20130389,5054285,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Anima Deka Gupta,Voters Party International,0,Graduate,53,4407000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Binod Gogo,IND,0,Graduate,53,330000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Diluwara Begum Chowdhury,IND,0,10th Pass,43,175843077,10773579,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Jyotiska Ranjan Goswam,IND,0,Graduate Professional,44,3219000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Kamakhya Prasad Tasa,BJP,0,Post Graduate,49,20017297,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Roselina Tirkey,INC,0,Post Graduate,42,4460172,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Sailen Chandra Malaka,Bharatiya Gana Parishad,1,12th Pass,66,16730000,8450000,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Saleh Ahmed Mazumda,Republican Party of India (Athawale),0,Graduate,29,50000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Salim Ahmed,Asom Jana Morcha,0,8th Pass,45,85000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Tridiv Jyoti Bhuya,IND,0,Graduate Professional,62,8640000,1400000,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Bikram Ramchiary,IND,0,Graduate,32,4575000,500000,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Biren Bailung,Voters Party International,0,12th Pass,54,1311000,0,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Deba Nath Pait,IND,0,Graduate Professional,33,1301200,815614,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Dhiren Kacha,CPI,0,Others,62,1060775,0,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Ghana Kanta Chutia,AITC,0,Post Graduate,46,19172000,1059000,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Gobin Biswakarma,IND,0,12th Pass,27,3085000,0,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Pallab Pegu,SUCI(C),0,Graduate,40,38169,0,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Pradan Baruah,BJP,0,Others,58,24205536,2269660,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Uday Shankar Hazarika,INC,0,Graduate,65,68243287,35347475,No,LAKHIMPUR,ASSAM,,2024,Lok Sabha,No Comment
Abu Eusuf Md Raihan Udd,IND,1,Graduate Professional,32,5751077,0,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Abu Shama,IND,0,10th Pass,42,2407000,1000000,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Aminul Islam,All India United Democratic Front,4,Post Graduate,52,4136685,0,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Anupam Baruah,Jai Prakash Janata Dal,0,Graduate,48,386143,785000,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Bipad Bhanjan Sarka,IND,0,Graduate,58,225424,0,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Nikhil Dekaraja,IND,0,Graduate,49,1301200,0,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Pradyut Bordolo,INC,0,Post Graduate,64,83915436,1299774,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Rabbul Haqu,Rashtriya Ulama Council,0,12th Pass,47,3066873,365000,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Saiful Islam Choudhury,Asom Jana Morcha,0,Graduate Professional,57,14523552,472270,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Samsul Alam,IND,0,Graduate,40,4450000,700000,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Santanu Mukherj,Bharatiya Gana Parishad,0,Graduate,49,965583,0,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Sikha Sarma,IND,3,Post Graduate,56,2251100,290875,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Suresh Borah,BJP,3,12th Pass,52,461446082,252322258,No,NAGAON,ASSAM,,2024,Lok Sabha,No Comment
Ananta Mohan Roy,IND,0,12th Pass,69,731500,0,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Barindra Kumar Das,Bangali Nabanirman Sena,0,10th Pass,54,669726,0,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Parimal Suklabaidya,BJP,0,12th Pass,66,17257627,0,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Probash Chandra Sarka,SUCI(C),0,12th Pass,51,1426332,6000,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Radheshyam Biswas,AITC,0,12th Pass,70,12513246,0,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Rajib Das,Bahujan Maha Party,0,12th Pass,47,65920500,21803500,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Raju Das,IND,0,Graduate,48,14229,1500000,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Surya Kanta Sarka,INC,0,Graduate,51,10185271,234285,No,SILCHAR (SC),ASSAM,,2024,Lok Sabha,No Comment
Alam Al,Bahujan Maha Party,1,5th Pass,44,225064,2500000,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Kameswar Swargiary,Voters Party International,0,8th Pass,41,104743,0,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Pradip Bhanda,IND,0,Graduate,58,20838131,732811,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Premlal Ganju,INC,2,12th Pass,53,11012763,400000,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Raju Deu,Bodoland Peoples Front,0,Post Graduate,47,5500500,261712,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Ranjit Dutta,BJP,0,12th Pass,67,89792194,24261374,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Rinku Roy,Gana Suraksha Party,0,10th Pass,55,100000,0,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Rishiraj Kaundinya,AAP,7,Graduate,45,29141753,261712,No,SONITPUR,ASSAM,,2024,Lok Sabha,No Comment
Abhay Kumar Sinha,RJD,16,12th Pass,53,107718589,47801483,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Mohammad Waliullah Kha,IND,1,Graduate,44,2830000,0,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Pratibha Ra,Peoples Party of India (Democratic),0,Graduate,32,7309211,0,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Raj Ballabh Singh,IND,0,10th Pass,62,3610000,800000,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Ramjit Singh,Rashtriya Jansambhavna Party,0,10th Pass,76,568000,0,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Shailesh Rah,Akhil Hind Forward Bloc (Krantikari),0,10th Pass,36,332000,0,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Sunesh Kuma,BSP,0,Others,36,1035000,890000,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Suresh Prasad Varma,IND,2,Graduate,61,12122000,0,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Sushil Kumar Singh,BJP,2,Post Graduate,58,202121473,7561319,No,AURANGABAD,BIHAR,,2024,Lok Sabha,No Comment
Amrit Tant,Bhartiya Dalit Party,0,10th Pass,56,2168000,500000,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Ganesh Kumar Kushawaha,Samata Party,1,Literate,44,5573000,100000,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Giridhari Yadav,JD(U),0,Post Graduate,63,17281101,5695769,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Jai Prakash Narayan Yadav,RJD,0,Post Graduate,70,77375059,111288,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Jay Prakash Yadav,Rashtriya Jansambhavna Party,0,Graduate,62,174710,0,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Kavindra Pandit,SUCI(C),0,12th Pass,50,2160600,0,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Naresh Kumar Priyadarsh,IND,0,Post Graduate,48,1987437,0,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Naresh Yadav,IND,0,8th Pass,40,61400,0,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Umakant Yadav,IND,0,Graduate Professional,73,3050000,0,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Uttam Kumar Singh,Aam Janta Party Rashtriya,0,8th Pass,34,6607208,818104,No,BANKA,BIHAR,,2024,Lok Sabha,No Comment
Ajay Kumar Mandal,JD(U),0,8th Pass,46,12232756,4980480,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Ajeet Sharma,INC,2,Graduate,70,545151545,45676250,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Chhote Lal Kuma,IND,0,Graduate,33,6375000,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Dayaram Mandal,Lok Sewa Dal,0,12th Pass,47,5010000,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Deepak Kuma,SUCI(C),0,12th Pass,45,4529537,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Deepak Kumar Singh,Rashtriya Jansambhavna Party,0,Graduate,50,70000,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Hareram Yadav,IND,0,Graduate,59,2047500,700000,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Mukesh Kuma,Akhil Bhartiya Parivar Party,0,Post Graduate,38,2700000,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Om Prakash Podda,IND,0,Doctorate,57,1155000,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Poonam Singh,BSP,0,Literate,26,1184000,800000,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Ramesh Tudu,IND,1,Others,42,4309000,0,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Umesh Prasad Yadav,Peoples Party of India (Democratic),0,Post Graduate,70,52250000,500000,No,BHAGALPUR,BIHAR,,2024,Lok Sabha,No Comment
Amresh Kuma,IND,0,Graduate,37,3192000,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Arun Kuma,IND,0,Graduate Professional,60,13020000,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Ashok Kumar Paswa,IND,1,Post Graduate,44,234153,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Ayush Kuma,IND,0,12th Pass,25,352000,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Devendra Pratap,IND,0,Graduate,51,24129716,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Dheerendra Prasad,Loktantrik Samajwadi Party,0,10th Pass,66,350000,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Giridhar Sapera,The National Road Map Party of India,0,12th Pass,43,8619570,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Jitan Ram Manjh,Hindustani Awam Morcha (Secular),6,Graduate,78,3020578,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Kumar Sarvjeet,RJD,1,Graduate Professional,48,119061473,2988914,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Ranjan Kuma,IND,0,Graduate,28,6107000,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Ranu Kumar Chaudhary,IND,0,10th Pass,26,325000,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Sheo Shanka,Bhartiya Lok Chetna Party,1,Post Graduate,66,10009000,529000,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Surendra Manjh,Rashtriya Jansambhavna Party,0,Graduate,42,633333,0,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Sushma Kuma,BSP,0,Post Graduate,33,1176000,600000,No,GAYA (SC),BIHAR,,2024,Lok Sabha,No Comment
Archana Kuma,RJD,1,Post Graduate,38,61656118,493163,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Arun Bhart,Lok Janshakti Party(Ram Vilas),0,Post Graduate,45,64870319,31204393,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Jagdish Prasad,Loktantrik Samajik Nyay Party,0,Post Graduate,69,101531131,0,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Sakaldeo Das,BSP,0,12th Pass,41,3854100,0,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Santosh Kumar Das,SUCI(C),0,Literate,40,2074000,0,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Srawon Kuma,Rashtriya Jansambhavna Party,0,Graduate Professional,57,2100000,0,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Subhash Paswa,IND,0,Literate,51,244118,0,No,JAMUI (SC),BIHAR,,2024,Lok Sabha,No Comment
Bindu Kuma,Samaj Shakti Party,0,10th Pass,28,3160000,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Dulal Chandra Goswam,JD(U),1,Graduate,56,23813270,6363267,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Gopal Kumar Mahto,BSP,0,10th Pass,34,1320000,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Gyaneshwar So,IND,0,Graduate Professional,32,2149000,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Khalid Mobarak,IND,0,Graduate,37,3605481,7240000,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Marang Hansada,Peoples Party of India (Democratic),0,Post Graduate,44,8878,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Raj Kumar Mandal,Rashtriya Jansambhavna Party,1,Post Graduate,52,2954844,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Tariq Anwa,INC,0,Graduate,73,196057169,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Vishnu Singh,Bharat Jago Janta Party,0,10th Pass,50,3128369,0,No,KATIHAR,BIHAR,,2024,Lok Sabha,No Comment
Akhtarul Ima,All India Majlis-E-Ittehadul Muslimeen,4,Post Graduate,60,12860474,1000000,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Babul Alam,BSP,1,10th Pass,44,642400,50000,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Bideshi Rishidev,IND,0,Literate,52,200000,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Chhote Lal Mahto,IND,0,Literate,47,1200694,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Hasirul,IND,0,8th Pass,50,2942582,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Md Gufran Jamal,IND,2,Post Graduate,27,52000,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Mohammad Jawed,INC,0,Graduate Professional,60,159675943,16562000,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Mohammad Kausar Perwez,IND,0,Graduate Professional,58,3875005,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Mujahid Alam,JD(U),1,Graduate,54,24560407,1200000,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Ravi Kumar Roy,IND,0,Graduate,40,376000,499010,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Shahabuzzama Bhartiya,Rashtriya Samaj Paksha,7,Graduate Professional,48,33224000,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Vishwanath Tudu,IND,0,12th Pass,31,100612,0,No,KISHANGANJ,BIHAR,,2024,Lok Sabha,No Comment
Anand Kumar Verma,Bharat Jan Jagran Dal,0,Post Graduate,33,6650000,389621,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Binod Yadav,IND,0,12th Pass,48,20544561,12800000,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Ganauri Pandit,Peoples Party of India (Democratic),1,Doctorate,64,2157974,0,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Gautam Kumar Babloo,Bhagidari Party(P),0,Graduate,52,4396138,0,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Gunjan Kuma,IND,0,12th Pass,34,57065762,2000000,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
Ranjit Kuma,BSP,0,Doctorate,52,15904499,0,No,NAWADA,BIHAR,,2024,Lok Sabha,No Comment
